"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.975534333E0,-5.978741460E-3,-3.918511569E-2,1.946128786E-2
1.985567333E0,-6.649607129E-2,-6.481813967E-2,-4.923063219E-2
1.995599333E0,-9.120019197E-2,-6.851942718E-2,-9.983419061E-2
2.005632333E0,-1.174534959E-1,-8.437824547E-2,-1.064485610E-1
2.015665333E0,-9.404139061E-2,-8.584531188E-2,-7.356148124E-2
2.025695958E0,-1.118645445E-3,-7.583429396E-2,6.324348450E-3
2.035728958E0,6.567168698E-2,-5.274480879E-2,6.201615393E-2
2.045761958E0,6.398195129E-2,-2.077340305E-2,9.039678454E-2
2.055793958E0,4.030376114E-2,-7.338840365E-3,3.745433986E-2
2.065826958E0,3.093140535E-3,6.777507663E-3,1.394210100E-2
2.075858958E0,-5.796651855E-2,1.484608054E-2,-2.630019128E-2
2.085891958E0,-6.678331576E-2,5.005508959E-2,-4.219584703E-2
2.095924958E0,-5.765727393E-2,6.007078528E-2,-6.588174820E-2
2.105956958E0,-5.924428135E-2,2.601192355E-2,-4.651460052E-2
2.115989958E0,-3.861026131E-2,2.589907229E-2,-6.356625080E-2
2.126022958E0,-3.248508364E-2,1.991795540E-2,-9.524880409E-2
2.136054958E0,-7.360990349E-2,5.048485994E-3,-1.575824618E-1
2.146087958E0,-7.610472769E-2,-2.895248830E-2,-1.380679643E-1
2.156120958E0,-5.514750279E-2,-2.949510992E-2,-9.027048469E-2
2.166152958E0,-7.985593580E-2,-1.573953509E-2,-5.218639970E-2
2.176185958E0,-8.874852754E-2,-2.370987475E-2,-4.095565259E-2
2.186218958E0,-1.114712644E-1,-2.688666701E-2,-2.300586998E-2
2.196250958E0,-1.325458904E-1,-3.048504353E-2,-1.102550983E-2
2.206283958E0,-1.034810259E-1,-5.526963651E-2,-4.925109744E-3
2.216316958E0,-4.450390751E-2,-7.110448122E-2,6.037834883E-2
2.226348958E0,1.414238641E-2,-6.551805139E-2,1.115736455E-1
2.236381958E0,-3.631285373E-3,-5.050532520E-2,1.268220145E-1
2.246413958E0,-2.098494435E-2,9.297072887E-4,1.164993399E-1
2.256446958E0,3.565175291E-3,1.853333473E-2,1.329668534E-1
2.266479958E0,1.414788645E-2,1.966886401E-2,1.605622029E-1
2.276511958E0,-5.659399431E-2,1.545360625E-2,-1.337609053E-2
2.286544958E0,-2.249456752E-1,-5.413527668E-2,-1.923780727E-1
2.296577958E0,-1.966727430E-1,-1.140364927E-1,-2.105728537E-1
2.306609958E0,-5.813168412E-2,-1.318085200E-1,-1.486145872E-1
2.316642958E0,-6.230392830E-2,-1.480263573E-1,-1.540367103E-1
2.326675958E0,-9.430758510E-2,-1.653855711E-1,-1.466417366E-1
2.336707958E0,-1.884966910E-2,-1.470948958E-1,-5.525852680E-2
2.346740958E0,5.551558502E-2,-1.611673898E-1,4.597080946E-2
2.356773958E0,1.154529442E-1,-1.783400774E-1,1.399706483E-1
2.366805958E0,1.759556559E-1,-1.978037041E-1,2.522523916E-1
2.376838958E0,2.734024284E-1,-2.578037381E-1,3.292771786E-1
2.386870958E0,3.176346779E-1,-2.709482789E-1,3.822570455E-1
2.396903958E0,3.003643052E-1,-2.214434123E-1,3.506095755E-1
2.406936958E0,1.972716623E-1,-7.496832132E-2,3.855899584E-1
2.416968958E0,7.597474591E-2,4.893242419E-2,4.747921568E-1
2.427001958E0,-2.446639482E-2,5.244835496E-2,5.576945651E-1
2.437034958E0,-8.181649807E-2,-7.186520398E-2,5.506024772E-1
2.447066958E0,-1.063767681E-1,-1.526263618E-1,4.495351088E-1
2.457099958E0,-1.413401850E-1,-2.746419650E-1,3.300595361E-1
2.467132958E0,-2.794580607E-1,-4.581591672E-1,3.151824653E-1
2.477164958E0,-4.915078480E-1,-6.764754885E-1,3.006790316E-1
2.487197958E0,-7.274068565E-1,-8.983685517E-1,2.458309793E-1
2.497230958E0,-7.699066857E-1,-9.448860759E-1,2.699004579E-1
2.507262958E0,-5.041643656E-1,-8.796399200E-1,3.740721130E-1
2.517295958E0,-2.899698927E-1,-8.937299556E-1,3.120284772E-1
2.527328958E0,-1.860171061E-2,-9.028878647E-1,4.489679289E-1
2.537360958E0,2.391807948E-1,-9.349265134E-1,7.553409791E-1
2.547393958E0,2.585532050E-1,-9.514197546E-1,9.016535175E-1
2.557425958E0,1.253890812E-1,-8.578888625E-1,8.212864619E-1
2.567458958E0,1.037627886E-1,-6.275810713E-1,4.901568854E-1
2.577491958E0,3.806954004E-1,-3.681366044E-1,1.152100289E-1
2.587523958E0,8.963721661E-1,-9.767481387E-2,-3.006503803E-1
2.597556958E0,1.582274828E0,7.509520590E-2,-6.998941720E-1
2.607589958E0,2.349158796E0,9.217960060E-2,-8.925201666E-1
2.617621958E0,2.887336963E0,4.428681135E-2,-9.991622704E-1
2.627654958E0,3.372001559E0,-8.238200605E-2,-1.026851760E0
2.637687958E0,3.808223142E0,-2.408041281E-1,-1.032543440E0
2.647719958E0,4.094775593E0,-3.720834750E-1,-1.099398165E0
2.657752958E0,4.180038522E0,-4.988709909E-1,-9.917485857E-1
2.667785958E0,4.179514904E0,-6.966255784E-1,-7.253821850E-1
2.677817958E0,4.215886047E0,-9.175667149E-1,-7.421531689E-1
2.687850958E0,4.340612127E0,-1.134896611E0,-7.200384146E-1
2.697883958E0,4.427795282E0,-1.381359090E0,-8.766496539E-1
2.707915958E0,4.349105793E0,-1.592561688E0,-1.236221842E0
2.717948958E0,4.011771151E0,-1.802951524E0,-1.556033548E0
2.727980958E0,3.453980984E0,-1.979539776E0,-1.815142969E0
2.738013958E0,2.800603751E0,-2.082108709E0,-2.074204443E0
2.748046958E0,2.122491335E0,-2.198274173E0,-2.293658633E0
2.758078958E0,1.511761354E0,-2.302837592E0,-2.466090683E0
2.768111958E0,1.040573421E0,-2.250254751E0,-2.538920093E0
2.778144958E0,5.969738209E-1,-1.954557547E0,-2.536786444E0
2.788176958E0,2.559180111E-1,-1.520042766E0,-2.449772859E0
2.798209958E0,-6.513155043E-2,-1.050178642E0,-2.282581083E0
2.808242958E0,-4.790980464E-1,-5.739010003E-1,-2.114894632E0
2.818274958E0,-8.626099044E-1,-2.068417454E-1,-1.872916383E0
2.828307958E0,-1.210737337E0,-1.216513216E-2,-1.578714897E0
2.838340958E0,-1.513489206E0,6.135775745E-2,-1.278966157E0
2.848372958E0,-1.762405177E0,3.282305270E-2,-8.326750839E-1
2.858405958E0,-1.784908771E0,-1.720411643E-1,-2.162043071E-1
2.868437958E0,-1.388767512E0,-5.584710753E-1,1.371698320E-1
2.878470958E0,-9.263474786E-1,-1.049276709E0,3.623262262E-1
2.888503958E0,-6.927336717E-1,-1.382444333E0,4.244330120E-1
2.898535958E0,-7.134526956E-1,-1.465590570E0,2.813726950E-1
2.908568958E0,-1.062256651E0,-1.386267242E0,5.281906843E-2
2.918601958E0,-1.586972920E0,-1.250365672E0,-9.529207349E-2
2.928633958E0,-2.122410643E0,-1.119245369E0,-2.086748475E-1
2.938666958E0,-2.560519123E0,-9.729483256E-1,-3.062865114E-1
2.948699958E0,-3.026437545E0,-8.718224850E-1,-3.249011225E-1
2.958731958E0,-3.409305040E0,-8.867653370E-1,-1.134734058E-1
2.968764958E0,-3.536898887E0,-9.159245244E-1,-2.129088163E-2
2.978797958E0,-3.570007576E0,-9.045762482E-1,-1.126021707E-1
2.988829958E0,-3.650459417E0,-8.419924758E-1,-2.561431289E-2
2.998862958E0,-3.578005398E0,-7.316471842E-1,-1.598453343E-1
3.008895958E0,-3.147057418E0,-5.637427787E-1,-5.284543937E-1
3.018927958E0,-2.824148442E0,-4.726522221E-1,-5.069658762E-1
3.028960958E0,-2.893531503E0,-4.174334563E-1,-5.481893313E-1
3.038992958E0,-2.925307612E0,-3.910489190E-1,-4.749933010E-1
3.049025958E0,-2.842177162E0,-3.956417607E-1,-2.335553348E-1
3.059058958E0,-2.724067499E0,-4.651530218E-1,9.834665895E-2
3.069090958E0,-2.666677662E0,-5.959546512E-1,3.497547126E-1
3.079123958E0,-2.613247560E0,-5.303544465E-1,1.956507593E-1
3.089156958E0,-2.530401285E0,-4.830633357E-1,4.103552556E-1
3.099188958E0,-2.416281177E0,-5.182480788E-1,5.876843494E-1
3.109221958E0,-2.256672070E0,-7.000558475E-1,9.333840179E-1
3.119254958E0,-1.655146776E0,-1.088495154E0,1.806099665E0
3.129286958E0,-5.779996061E-1,-1.561515605E0,3.387720044E0
3.139319958E0,6.678870982E-1,-1.822096185E0,4.557256730E0
3.149352958E0,1.314786201E0,-1.843252581E0,5.166093966E0
3.159384958E0,8.861630738E-1,-1.697838760E0,5.023440616E0
3.169417958E0,1.629607308E-1,-1.342402308E0,4.853001881E0
3.179450958E0,2.805587626E-1,-7.375072637E-1,4.724228066E0
3.189482958E0,8.187160259E-1,3.747275859E-2,3.816600448E0
3.199515958E0,9.039485496E-1,6.086626974E-1,2.571941659E0
3.209547958E0,5.303512305E-1,9.453863052E-1,1.392964059E0
3.219580958E0,9.301048994E-2,1.223805279E0,2.951557517E-1
3.229613958E0,-5.070179164E-2,1.431072994E0,-2.895722455E-1
3.239645958E0,7.116587698E-2,1.483090994E0,-3.837814146E-1
3.249678958E0,1.512423259E-1,1.275051739E0,-2.351931399E-1
3.259711958E0,2.631831765E-3,8.442090091E-1,3.096217632E-2
3.269743958E0,-2.460613596E-1,4.025752428E-1,4.089536780E-1
3.279776958E0,-4.813743675E-1,1.999771142E-1,6.361618602E-1
3.289809958E0,-5.331497079E-1,1.620035416E-1,6.731454992E-1
3.299841958E0,-4.890570241E-1,1.425369912E-1,4.921192110E-1
3.309874958E0,-4.460957766E-1,1.115409011E-1,2.253107607E-2
3.319907958E0,-3.804321295E-1,5.482817173E-2,-2.760949981E-1
3.329939958E0,-1.797276217E-1,-1.208561003E-2,-6.834488779E-1
3.339972958E0,8.549214005E-3,-2.037696183E-2,-1.016828463E0
3.350005958E0,-3.244152188E-2,2.169141591E-2,-1.230900875E0
3.360037958E0,-1.464628118E-1,8.751790792E-2,-1.390590089E0
3.370070958E0,-2.554490644E-1,1.228473696E-1,-1.501039900E0
3.380103958E0,-3.745989472E-1,7.364977419E-2,-1.495897858E0
3.390135958E0,-5.079669195E-1,-5.102192670E-2,-1.436030556E0
3.400168958E0,-6.446040702E-1,-2.344955671E-1,-1.277031898E0
3.410200958E0,-7.808839560E-1,-4.064411294E-1,-1.064470991E0
3.420233958E0,-8.804766566E-1,-5.510281545E-1,-8.604060888E-1
3.430266958E0,-9.601841462E-1,-6.363890246E-1,-6.848235583E-1
